rank,artist_names,track_name,source,peak_rank,popularity_float,days_on_chart,daysonchart_float,streams,streams_float,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_genre,date
1,OFFICIAL HIGE DANDISM,Subtitle,IRORI Records,1,1,82,0.8,388464,0.39,0.6,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4,"anime, anime rock, j-pop",2022-12-31
2,Kenshi Yonezu,KICK BACK,Sony Music Labels Inc.,1,2,82,0.8,297097,0.30,0.6,0.941,1,-5.17,1,0.105,0.00207,3.36E-06,0.0891,0.292,101.921,193495,4,"anime, j-pop",2022-12-31
3,Tani Yuuki,W / X / Y,Valley Records,1,3,371,3.7,239416,0.24,0.6,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3,"j-pop, japanese teen pop",2022-12-31
4,Ado,新時代,Universal Music LLC,1,5,207,2.1,236702,0.24,0.5,0.987,7,-2.279,1,0.253,0.049,3.24E-06,0.406,0.451,175.064,226813,4,"j-pop, japanese teen pop",2022-12-31
5,natori,Overdose,なとり,2,4,111,1.1,221872,0.22,0.7,0.598,4,-9.453,0,0.0377,0.0307,1.7E-05,0.218,0.831,118.012,197094,4,japanese teen pop,2022-12-31
6,Mrs. GREEN APPLE,ダンスホール,Universal Music LLC,2,6,222,2.2,216244,0.22,0.7,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4,"anime rock, j-pop, j-rock",2022-12-31
7,Saucy Dog,シンデレラボーイ,A-Sketch,2,7,448,4.5,211477,0.21,0.6,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4,"j-indie, j-pop, japanese alternative rock",2022-12-31
8,10-FEET,第ゼロ感,Universal Music LLC,7,8,31,0.3,178030,0.18,0.4,0.94,7,-4.16,1,0.175,2.77E-05,1.34E-05,0.32,0.349,150.082,286000,4,,2022-12-31
9,OFFICIAL HIGE DANDISM,ミックスナッツ,IRORI Records,1,9,262,2.6,174434,0.17,0.5,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4,"anime, anime rock, j-pop",2022-12-31
10,SEKAI NO OWARI,Habit,Universal Music LLC,2,17,245,2.5,171173,0.17,0.7,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4,"anime, j-pop",2022-12-31
11,Ado,私は最強,Universal Music LLC,2,12,193,1.9,170839,0.17,0.6,0.864,4,-2.92,1,0.0447,0.208,0.0,0.355,0.698,96.04,257080,4,"j-pop, japanese teen pop",2022-12-31
12,Vaundy,怪獣の花唄,SDR Inc.,12,18,760,7.6,170752,0.17,0.4,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,224806,4,"j-pop, japanese soul",2022-12-31
13,Yuuri,ベテルギウス,Sony Music Labels Inc.,1,10,423,4.2,168688,0.17,0.4,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
14,Macaroni Empitsu,なんでもないよ、,Toys Factory,1,11,424,4.2,168322,0.17,0.6,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4,"anime, j-pop, japanese alternative rock, japanese teen pop",2022-12-31
15,back number,水平線,Universal Music LLC,1,15,506,5.1,152260,0.15,0.4,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,285396,4,"j-pop, j-rock",2022-12-31
16,Novelbright,愛とか恋とか,Universal Music LLC,7,14,258,2.6,150037,0.15,0.7,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4,"j-pop, j-rock",2022-12-31
17,"ZUTOMAYO, Mori Calliope",綺羅キラー,Universal Music LLC,9,13,17,0.2,148376,0.15,0.6,0.977,7,-2.078,0,0.118,0.372,1.07E-06,0.35,0.672,142.048,253067,4,j-pop,2022-12-31
18,Tani Yuuki,もう一度,Valley Records,9,16,102,1.0,141921,0.14,0.6,0.724,11,-5.381,1,0.0381,0.00408,0.0,0.361,0.315,131.975,250767,4,"j-pop, japanese teen pop",2022-12-31
19,NewJeans,Ditto,ADOR,9,20,13,0.1,139319,0.14,0.8,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,185507,4,"k-pop, k-pop girl group",2022-12-31
20,RADWIMPS,カナタハルカ,Universal Music LLC,6,19,65,0.7,138585,0.14,0.5,0.535,0,-6.566,1,0.0354,0.626,0.0,0.413,0.324,79.95,355707,4,"j-pop, j-rock, japanese emo, visual kei",2022-12-31
21,Yuuri,ドライフラワー,Sony Music Labels Inc.,1,22,791,7.9,134602,0.13,0.5,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
22,Mrs. GREEN APPLE,Soranji,Universal Music LLC,17,21,75,0.8,133282,0.13,0.5,0.661,5,-5.197,1,0.044,0.0604,0.0,0.144,0.406,156.057,341443,4,"anime rock, j-pop, j-rock",2022-12-31
23,YOASOBI,祝福,YOASOBI,6,23,92,0.9,131952,0.13,0.6,0.958,4,-3.159,0,0.073,0.0186,3.08E-05,0.297,0.541,170.045,196235,4,"j-pop, japanese teen pop",2022-12-31
24,back number,アイラブユー,Universal Music LLC,19,25,69,0.7,131663,0.13,0.5,0.624,1,-3.629,1,0.0281,0.296,0.0,0.142,0.462,77.988,235683,4,"j-pop, j-rock",2022-12-31
25,OFFICIAL HIGE DANDISM,115万キロのフィルム,LASTRUM,6,26,1336,13.4,128735,0.13,0.5,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,324633,4,"anime, anime rock, j-pop",2022-12-31
26,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,18,27,76,0.8,128412,0.13,0.9,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,184444,4,k-pop girl group,2022-12-31
27,Ryokuoushoku Shakai,Mela!,Sony Music Labels Inc.,21,32,978,9.8,128277,0.13,0.6,0.941,8,-1.618,1,0.0584,0.0439,1.73E-05,0.318,0.624,137.967,242067,4,j-pop,2022-12-31
28,yama,色彩,Sony Music Labels Inc.,14,24,91,0.9,127209,0.13,0.6,0.926,7,-3.268,0,0.0662,0.176,0.0,0.251,0.874,117.04,192176,4,"j-pop, japanese teen pop",2022-12-31
29,Fujii Kaze,きらり,Universal Music LLC,3,29,609,6.1,126264,0.13,0.7,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4,japanese teen pop,2022-12-31
30,King Gnu,カメレオン,Sony Music Labels Inc.,1,28,308,3.1,125882,0.13,0.6,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,193990,4,"j-pop, j-rock",2022-12-31
31,Ado,逆光,Universal Music LLC,2,35,179,1.8,123624,0.12,0.6,0.896,10,-3.875,0,0.108,0.000387,8.17E-06,0.374,0.713,145.023,237667,4,"j-pop, japanese teen pop",2022-12-31
32,wacci,恋だろ,Sony Music Labels Inc.,14,33,189,1.9,120874,0.12,0.6,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,283093,4,"anime, j-division, j-pop",2022-12-31
33,yangskinny,本当はね、,ヤンスキ,7,31,77,0.8,117859,0.12,0.6,0.746,11,-5.313,1,0.041,0.178,5.39E-06,0.0594,0.873,102.051,201213,4,"japanese teen pop, modern j-rock",2022-12-31
34,8LOOM,Melody,Virgin Music Label And Artist Services (S&D),27,34,53,0.5,116802,0.12,0.8,0.6,2,-6.081,1,0.0374,0.281,0.0,0.239,0.754,143.044,194753,4,,2022-12-31
35,Fujii Kaze,死ぬのがいいわ,Universal Music LLC,7,51,132,1.3,116237,0.12,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09E-05,0.189,0.519,158.078,185573,4,japanese teen pop,2022-12-31
36,BUMP OF CHICKEN,SOUVENIR,Toys Factory,10,30,94,0.9,116225,0.12,0.6,0.94,2,-4.997,1,0.0413,0.0094,6.48E-06,0.0957,0.96,158.056,264127,4,"j-pop, j-rock",2022-12-31
37,YOASOBI,群青,YOASOBI,5,37,852,8.5,114410,0.11,0.7,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,248027,4,"j-pop, japanese teen pop",2022-12-31
38,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,Universal Music LLC,17,36,1314,13.1,113035,0.11,0.5,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,307067,4,"anime rock, j-pop, j-rock",2022-12-31
39,Ado,ウタカタララバイ,Universal Music LLC,4,40,148,1.5,111273,0.11,0.5,0.914,6,-2.104,1,0.12,0.179,0.0,0.17,0.63,89.015,173373,4,"j-pop, japanese teen pop",2022-12-31
40,"MAISONdes, 花譜, ツミキ",トウキョウ・シャンディ・ランデヴ,Sony Music Labels Inc.,39,39,49,0.5,110607,0.11,0.7,0.973,6,-1.789,0,0.0754,0.0435,0.000548,0.0718,0.91,137.024,184767,4,japanese teen pop,2022-12-31
41,BTS,Dynamite,BIGHIT MUSIC,1,43,863,8.6,108395,0.11,0.7,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,"k-pop, k-pop boy group, pop",2022-12-31
42,Yuuri,シャッター,Sony Music Labels Inc.,9,41,543,5.4,107090,0.11,0.6,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,248947,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
43,"RADWIMPS, Toaka",すずめ,Universal Music LLC,8,42,93,0.9,105283,0.11,0.6,0.41,2,-6.616,0,0.0311,0.65,0.0,0.309,0.36,78.01,238560,4,"j-pop, j-rock, japanese emo, visual kei",2022-12-31
44,Vaundy,CHAINSAW BLOOD,Sony Music Labels Inc.,7,47,82,0.8,105042,0.11,0.5,0.855,0,-5.229,1,0.0953,7.38E-05,1.81E-06,0.281,0.549,146.987,200997,4,"j-pop, japanese soul",2022-12-31
45,Hikaru Utada,First Love,Universal Music LLC,8,38,447,4.5,104737,0.10,0.4,0.434,7,-8.37,1,0.0371,0.122,0.0,0.15,0.195,179.913,257293,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-12-31
46,back number,クリスマスソング,Universal Music LLC,2,44,1100,11.0,99696,0.10,0.4,0.705,4,-3.324,1,0.0315,0.128,0.0,0.123,0.42,154.02,340080,4,"j-pop, j-rock",2022-12-31
47,Fujii Kaze,grace,Universal Music LLC,13,45,83,0.8,99425,0.10,0.7,0.685,7,-8.765,1,0.0472,0.0822,0.0257,0.319,0.637,108.971,289541,4,japanese teen pop,2022-12-31
48,back number,ベルベットの詩,Universal Music LLC,22,46,128,1.3,96175,0.10,0.5,0.71,10,-3.965,1,0.0606,0.00947,0.0,0.0577,0.609,147.955,254161,4,"j-pop, j-rock",2022-12-31
49,Aimer,残響散歌,Sony Music Labels Inc.,1,52,392,3.9,91369,0.09,0.4,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,184893,4,"anime, anime rock, j-pixie, j-pop, j-poprock",2022-12-31
50,Hikaru Utada,First Love - 2022 Mix,Universal Music LLC,48,48,23,0.2,88255,0.09,0.4,0.517,7,-6.447,1,0.0282,0.17,0.0,0.138,0.136,179.883,261123,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-12-31
51,Yuuri,クリスマスイブ,Sony Music Labels Inc.,13,50,33,0.3,86508,0.09,0.6,0.521,3,-5.515,1,0.0258,0.0885,0.0,0.108,0.43,145.992,233973,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
52,King Gnu,一途,Sony Music Labels Inc.,1,54,388,3.9,77379,0.08,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2E-05,0.0557,0.662,159.971,190607,4,"j-pop, j-rock",2022-12-31
53,King Gnu,逆夢,Sony Music Labels Inc.,1,60,374,3.7,74224,0.07,0.2,0.708,1,-5.425,1,0.0458,0.442,0.0,0.319,0.278,83.443,307667,4,"j-pop, j-rock",2022-12-31
54,YOASOBI,夜に駆ける,YOASOBI,1,53,1021,10.2,73934,0.07,0.7,0.871,8,-5.287,1,0.03,0.00299,1.8E-06,0.337,0.826,130.025,258840,4,"j-pop, japanese teen pop",2022-12-31
55,PEOPLE 1,DOGLAND,Pollyanna Records,49,49,18,0.2,72149,0.07,0.6,0.899,4,-4.816,0,0.124,0.00494,0.0026,0.337,0.608,139.977,175217,4,,2022-12-31
56,NewJeans,Hype Boy,ADOR,53,55,142,1.4,69859,0.07,0.6,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,179027,4,"k-pop, k-pop girl group",2022-12-31
57,Da-iCE,CITRUS,avex trax,8,56,734,7.3,69547,0.07,0.5,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,248653,4,"j-pop, j-pop boy group",2022-12-31
58,Saucy Dog,いつか,MASH A&R,51,58,961,9.6,69483,0.07,0.6,0.509,7,-4.535,1,0.0263,0.0941,0.0,0.201,0.445,79.989,274872,4,"j-indie, j-pop, japanese alternative rock",2022-12-31
59,King Gnu,Stardom,Sony Music Labels Inc.,14,63,45,0.5,67047,0.07,0.6,0.957,0,-6.08,1,0.116,0.174,0.0,0.621,0.399,115.987,217000,4,"j-pop, j-rock",2022-12-31
60,OFFICIAL HIGE DANDISM,I LOVE...,IRORI Records,1,59,1083,10.8,66945,0.07,0.5,0.663,9,-6.071,1,0.0536,0.00938,0.0,0.178,0.407,171.698,282680,4,"anime, anime rock, j-pop",2022-12-31
61,OFFICIAL HIGE DANDISM,Pretender,ポニーキャニオン,1,57,1355,13.6,66707,0.07,0.5,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,326843,4,"anime, anime rock, j-pop",2022-12-31
62,IVE,After LIKE,Starship Entertainment,12,62,132,1.3,66636,0.07,0.7,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,176973,4,k-pop girl group,2022-12-31
63,Vaundy,踊り子,SDR Inc.,7,82,410,4.1,65693,0.07,0.7,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,230110,4,"j-pop, japanese soul",2022-12-31
64,Vaundy,napori,SDR Inc.,16,70,769,7.7,65054,0.07,0.9,0.356,11,-7.802,1,0.297,0.417,0.0,0.0997,0.468,129.822,203787,4,"j-pop, japanese soul",2022-12-31
65,WEDNESDAY CAMPANELLA,エジソン,WM Japan,7,64,204,2.0,63140,0.06,0.8,0.729,1,-5.733,0,0.0802,0.0195,0.0089,0.101,0.619,129.999,193511,4,"hyperpop, japanese dance pop, japanese electropop",2022-12-31
66,back number,HAPPY BIRTHDAY,Universal Music LLC,52,61,812,8.1,63013,0.06,0.5,0.602,11,-4.365,1,0.0303,0.0702,0.0,0.0677,0.535,145.988,258333,4,"j-pop, j-rock",2022-12-31
67,Vaundy,恋風邪にのせて,SDR Inc.,13,79,300,3.0,62648,0.06,0.6,0.909,6,-3.594,0,0.0341,6.4E-05,0.000355,0.387,0.537,118.021,255914,4,"j-pop, japanese soul",2022-12-31
68,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,7,68,541,5.4,62645,0.06,0.6,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,australian hip hop,2022-12-31
69,Stray Kids,CASE 143,Sony Music Labels Inc.,54,67,86,0.9,61066,0.06,0.8,0.885,1,-2.627,0,0.237,0.0935,0.0,0.0223,0.646,100.073,191965,4,"k-pop, k-pop boy group, pop",2022-12-31
70,TWICE,Talk that Talk,WM Japan,13,74,128,1.3,60422,0.06,0.8,0.905,3,-2.432,0,0.122,0.143,0.0,0.332,0.768,119.964,177467,4,"k-pop, k-pop girl group, pop",2022-12-31
71,Saucy Dog,結,A-Sketch,52,72,417,4.2,59850,0.06,0.5,0.661,6,-7.09,1,0.0408,0.224,0.0,0.169,0.538,153.935,264840,4,"j-indie, j-pop, japanese alternative rock",2022-12-31
72,Da-iCE,スターマイン,avex trax,72,93,57,0.6,59343,0.06,0.7,0.895,6,-3.554,1,0.183,0.295,0.0,0.0665,0.746,131.986,227662,4,"j-pop, j-pop boy group",2022-12-31
73,BTS,Butter,BIGHIT MUSIC,1,73,588,5.9,59263,0.06,0.8,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4,"k-pop, k-pop boy group, pop",2022-12-31
74,SPITZ,チェリー,Universal Music LLC,23,69,1487,14.9,59204,0.06,0.6,0.805,0,-3.422,1,0.0292,0.227,1.95E-05,0.0901,0.748,97.201,259933,4,"classic j-pop, j-pop, j-rock",2022-12-31
75,Mrs. GREEN APPLE,青と夏,Universal Music LLC,5,66,1630,16.3,59197,0.06,0.3,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,4,"anime rock, j-pop, j-rock",2022-12-31
76,Yuuri,メリーゴーランド,Sony Music Labels Inc.,57,65,10,0.1,58233,0.06,0.5,0.629,3,-5.719,1,0.0279,0.492,0.0,0.0641,0.563,179.968,255840,3,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
77,Aimyon,君はロックを聴かない,WM Japan,2,92,1795,18.0,57858,0.06,0.5,0.687,7,-4.039,1,0.0267,0.00135,0.0,0.169,0.619,99.919,246307,4,"j-acoustic, j-pop",2022-12-31
78,Takaya Kawasaki,魔法の絨毯,Warner Music D.N.A.,13,71,838,8.4,57752,0.06,0.6,0.309,10,-6.291,0,0.0481,0.776,0.0,0.122,0.571,73.897,208896,4,"j-pop, japanese teen pop",2022-12-31
79,YOASOBI,怪物,YOASOBI,4,85,725,7.3,57749,0.06,0.6,0.847,1,-2.54,1,0.205,0.0655,9.92E-05,0.307,0.728,169.959,205480,4,"j-pop, japanese teen pop",2022-12-31
80,King Gnu,雨燦々,Sony Music Labels Inc.,8,75,171,1.7,57528,0.06,0.5,0.862,10,-4.608,1,0.041,0.354,0.00431,0.13,0.587,94.99,295681,4,"j-pop, j-rock",2022-12-31
81,Kyanai,バニラ,ENS Entertainment,13,76,259,2.6,57412,0.06,0.6,0.698,10,-3.934,1,0.0307,0.028,0.0,0.13,0.521,113.041,251051,4,,2022-12-31
82,OFFICIAL HIGE DANDISM,Cry Baby,IRORI Records,3,81,605,6.1,57361,0.06,0.3,0.901,1,-4.617,1,0.12,0.0103,0.0,0.358,0.434,199.934,241680,4,"anime, anime rock, j-pop",2022-12-31
83,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,4,83,880,8.8,56708,0.06,0.5,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,255827,4,"anime, j-pop",2022-12-31
84,Vaundy,不可幸力,SDR Inc.,18,97,897,9.0,56706,0.06,0.7,0.815,11,-5.227,0,0.0426,0.0157,2.85E-06,0.0636,0.613,94.032,200243,4,"j-pop, japanese soul",2022-12-31
85,結束バンド,青春コンプレックス,Aniplex Inc.,64,87,38,0.4,56418,0.06,0.4,0.939,7,-2.056,0,0.12,0.00165,2.14E-06,0.141,0.463,190.066,203627,4,,2022-12-31
86,結束バンド,星座になれたら,Aniplex Inc.,58,80,7,0.1,56133,0.06,0.6,0.9,8,-3.842,1,0.0406,0.00498,0.0,0.0743,0.749,123.037,258173,4,,2022-12-31
87,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,12,88,191,1.9,55963,0.06,0.9,0.592,2,-4.898,1,0.0324,0.619,1.32E-05,0.0901,0.719,101.058,154487,4,"pop, viral pop",2022-12-31
88,back number,オールドファッション,Universal Music LLC,55,77,414,4.1,55771,0.06,0.4,0.806,6,-3.647,1,0.0499,0.0788,0.0,0.104,0.394,175.953,254440,4,"j-pop, j-rock",2022-12-31
89,Chippoke Ohashi,常緑,"TRIAD/Nippon Columbia Co., Ltd.",16,89,421,4.2,55705,0.06,0.7,0.75,11,-5.694,1,0.0772,0.0242,0.0,0.101,0.888,101.19,171547,4,japanese alternative pop,2022-12-31
90,"Jung Kook, BTS, FIFA Sound",Dreamers Music from the FIFA World Cup Qatar 2022 Official Soundtrack,Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,19,78,42,0.4,54781,0.05,0.7,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,201391,4,k-pop,2022-12-31
91,Vaundy,花占い,SDR Inc.,17,96,545,5.5,54108,0.05,0.7,0.789,7,-7.634,0,0.0305,0.0141,0.0,0.317,0.881,135.01,207556,4,"j-pop, japanese soul",2022-12-31
92,ZUTOMAYO,残機,Universal Music LLC,8,86,75,0.8,53869,0.05,0.7,0.903,2,-2.965,1,0.0732,0.403,0.0,0.119,0.849,140.981,230067,4,j-pop,2022-12-31
93,"milet, Aimer, Lilas Ikuta",おもかげ (produced by Vaundy),THE FIRST TAKE MUSIC,25,145,374,3.7,53693,0.05,0.5,0.638,8,-4.502,1,0.058,0.0258,2.24E-05,0.12,0.713,207.906,188060,4,j-pop,2022-12-31
94,Gen Hoshino,喜劇,Speedstar,6,121,268,2.7,53223,0.05,0.7,0.461,1,-6.746,0,0.143,0.0322,1.01E-06,0.358,0.715,87.917,230667,4,"j-acoustic, j-pop, japanese singer-songwriter",2022-12-31
95,YOAKE,ねぇ,YOAKE project,56,90,217,2.2,52905,0.05,0.5,0.761,0,-6.434,1,0.0426,0.0769,0.0,0.111,0.962,171.038,200702,4,japanese viral pop,2022-12-31
96,BE:FIRST,Bye-Good-Bye,B-ME,8,102,301,3.0,52707,0.05,0.9,0.654,2,-5.225,1,0.0502,0.109,0.0,0.0803,0.787,114.991,181019,4,j-pop boy group,2022-12-31
97,Eve,ファイトソング,TOYS FACTORY,74,84,4,0.0,52642,0.05,0.5,0.966,6,-4.046,1,0.0952,0.000382,1.26E-06,0.349,0.752,125.913,208964,4,"anime, anime rock",2022-12-31
98,Yuuri,レオ,Sony Music Labels Inc.,51,94,354,3.5,52550,0.05,0.6,0.543,5,-6.281,1,0.0252,0.383,0.0,0.127,0.403,93.043,238973,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-12-31
99,Macaroni Empitsu,ブルーベリー・ナイツ,TALTO,67,91,957,9.6,52141,0.05,0.7,0.865,5,-3.642,1,0.0277,0.278,0.0,0.0931,0.772,106.008,244869,4,"anime, j-pop, japanese alternative rock, japanese teen pop",2022-12-31
100,NAYEON,POP!,WM Japan,7,98,191,1.9,52041,0.05,0.8,0.859,2,-2.998,1,0.0544,0.0356,0.0,0.0343,0.392,97.001,168107,4,k-pop,2022-12-31
101,HENTAI SHINSHI CLUB,YOKAZE,TOYS FACTORY,14,95,760,7.6,51902,0.05,0.6,0.587,10,-5.53,1,0.0268,0.293,0.0,0.0784,0.361,89.96,269547,4,,2022-12-31
102,結束バンド,ギターと孤独と蒼い惑星,Aniplex Inc.,82,100,39,0.4,51211,0.05,0.5,0.965,9,-1.961,1,0.0891,0.00651,0.00021,0.362,0.385,96.539,228960,4,,2022-12-31
103,BTS,Permission to Dance,BIGHIT MUSIC,1,99,541,5.4,51057,0.05,0.7,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,187585,4,"k-pop, k-pop boy group, pop",2022-12-31
104,IVE,LOVE DIVE,STARSHIP Entertainment,7,101,271,2.7,50722,0.05,0.7,0.709,1,-4.169,0,0.0433,0.00379,5.43E-05,0.333,0.538,117.941,177187,4,k-pop girl group,2022-12-31
105,LE SSERAFIM,FEARLESS,SOURCE MUSIC,15,105,244,2.4,50687,0.05,0.9,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,168437,4,k-pop girl group,2022-12-31
106,King Gnu,白日,Sony Music Labels Inc.,1,103,1410,14.1,49859,0.05,0.6,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,276373,4,"j-pop, j-rock",2022-12-31
107,Creepy Nuts,のびしろ,Sony Music Labels Inc.,53,104,488,4.9,49482,0.05,0.7,0.928,11,-2.926,0,0.0699,0.252,0.0,0.0686,0.963,174.004,236840,4,"j-pop, j-rock",2022-12-31
108,Aimyon,ハート,WM Japan,9,126,438,4.4,49137,0.05,0.7,0.448,6,-5.761,1,0.0522,0.543,0.0,0.0818,0.299,78.114,271280,4,"j-acoustic, j-pop",2022-12-31
110,Macaroni Empitsu,恋人ごっこ,TALTO,30,108,960,9.6,48581,0.05,0.4,0.646,1,-5.301,1,0.0361,0.124,0.0,0.0603,0.745,102.033,200219,4,"anime, j-pop, japanese alternative rock, japanese teen pop",2022-12-31
111,Ado,風のゆくえ,Universal Music LLC,8,113,144,1.4,47851,0.05,0.4,0.717,1,-3.979,0,0.0359,0.159,0.0,0.125,0.233,139.987,272467,4,"j-pop, japanese teen pop",2022-12-31
112,YOASOBI,三原色,YOASOBI,4,110,549,5.5,47634,0.05,0.7,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014,220253,4,"j-pop, japanese teen pop",2022-12-31
113,back number,花束,Universal Music LLC,50,106,1179,11.8,47623,0.05,0.5,0.713,2,-3.612,1,0.0324,0.0178,0.0,0.353,0.505,159.963,286053,4,"j-pop, j-rock",2022-12-31
114,Ado,Tot Musica,Universal Music LLC,7,116,144,1.4,47159,0.05,0.7,0.934,5,-3.948,0,0.0653,0.073,0.0,0.123,0.175,129.974,195227,4,"j-pop, japanese teen pop",2022-12-31
115,Lilas Ikuta,スパークル,幾田りら,51,112,348,3.5,47000,0.05,0.6,0.579,11,-4.937,1,0.038,0.417,0.0,0.0666,0.692,149.831,213600,4,"j-pop, japanese teen pop",2022-12-31
116,8LOOM,Come Again,Virgin Music Label And Artist Services (S&D),57,107,68,0.7,46994,0.05,0.6,0.743,3,-5.668,1,0.0365,0.0903,0.0,0.0918,0.374,179.984,225532,4,,2022-12-31
117,back number,恋,Universal Music LLC,81,109,114,1.1,46778,0.05,0.4,0.72,9,-2.9,1,0.0329,0.103,0.0,0.307,0.524,152.075,253307,4,"j-pop, j-rock",2022-12-31
118,DISH//,猫,Sony Music Labels Inc.,16,117,977,9.8,45895,0.05,0.5,0.769,3,-5.326,1,0.0363,0.113,0.0,0.0828,0.536,154.044,276040,4,"anime, j-division, j-pop",2022-12-31
119,Awesome City Club,勿忘,cutting edge,3,120,704,7.0,45710,0.05,0.4,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,251533,4,"city pop, j-pop, j-rock, japanese alternative rock",2022-12-31
120,NewJeans,Attention,ADOR,62,114,148,1.5,45315,0.05,0.8,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,180067,4,"k-pop, k-pop girl group",2022-12-31
121,Aimyon,マリーゴールド,WM Japan,1,115,1628,16.3,45209,0.05,0.5,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627,4,"j-acoustic, j-pop",2022-12-31
122,SG,僕らまた,SuperGenius Entertainment,67,119,402,4.0,44920,0.04,0.7,0.298,10,-13.374,1,0.168,0.713,0.0,0.0917,0.698,77.91,197308,4,japanese teen pop,2022-12-31
123,Saucy Dog,優しさに溢れた世界で,A-Sketch,7,124,214,2.1,44689,0.04,0.5,0.773,2,-7.454,1,0.0468,0.237,3.61E-06,0.126,0.526,147.937,258208,4,"j-indie, j-pop, japanese alternative rock",2022-12-31
124,Aimyon,裸の心,WM Japan,2,118,975,9.8,43882,0.04,0.6,0.448,8,-4.11,1,0.0275,0.537,1.85E-05,0.0915,0.354,148.02,296653,4,"j-acoustic, j-pop",2022-12-31
