rank,artist_names,track_name,source,peak_rank,popularity_float,days_on_chart,daysonchart_float,streams,streams_float,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_genre,date
197,BTS,Blue & Grey,BIGHIT MUSIC,52,175,180,1.8,28107,0.03,0.5,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,"k-pop, k-pop boy group, pop",2022-03-16
179,BTS,Black Swan,BIGHIT MUSIC,26,156,85,0.9,29357,0.03,0.7,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,198261,4,"k-pop, k-pop boy group, pop",2022-03-15
192,BTS,So What,BIGHIT MUSIC,23,171,37,0.4,28512,0.03,0.7,0.883,9,-4.294,0,0.0733,0.0238,0.0,0.0481,0.461,129.943,281521,4,"k-pop, k-pop boy group, pop",2022-03-15
200,BTS,Like,BIGHIT MUSIC,200,-1,1,0.0,27715,0.03,0.7,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,231893,4,"k-pop, k-pop boy group, pop",2022-03-14
171,HIRAIDAI,3月の帰り道,avex trax,109,168,19,0.2,31287,0.03,0.7,0.406,2,-7.104,1,0.0327,0.597,0.0,0.201,0.498,139.957,218820,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-03-12
194,YOASOBI,優しい彗星,YOASOBI,52,-1,411,4.1,29361,0.03,0.7,0.709,5,-4.293,1,0.033,0.179,0.0,0.142,0.59,89.989,213240,4,"j-pop, japanese teen pop",2022-03-12
185,Jung Kook,Stay Alive (Prod. SUGA of BTS),BIGHIT MUSIC,51,152,28,0.3,28070,0.03,0.5,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096,210928,4,k-pop,2022-03-10
194,AI,アルデバラン,Universal Music LLC,106,179,108,1.1,27405,0.03,0.4,0.457,2,-7.213,1,0.032,0.285,0.0,0.288,0.474,146.401,267080,4,j-pop,2022-03-10
196,LiSA,明け星,Sony Music Labels Inc.,52,199,143,1.4,27249,0.03,0.4,0.867,1,-3.604,1,0.048,0.000303,0.0,0.347,0.215,94.952,269000,4,"anime, anime rock, j-pixie, j-pop",2022-03-10
193,ENHYPEN,Polaroid Love,BELIFT LAB,153,184,20,0.2,27439,0.03,0.7,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4,"anime, k-pop boy group",2022-03-09
195,Aimer,朝が来る,Sony Music Labels Inc.,77,190,59,0.6,27398,0.03,0.3,0.92,1,-4.086,1,0.0986,0.00118,0.0,0.354,0.246,83.117,294933,4,"anime, anime rock, j-pixie, j-pop, j-poprock",2022-03-09
197,Perfume,STAR TRAIN,Universal Music LLC,154,-1,8,0.1,27247,0.03,0.6,0.897,0,-3.813,1,0.0298,0.0103,0.000108,0.213,0.421,104.967,274347,4,"bitpop, j-idol, j-pop, j-pop girl group, japanese electropop, shibuya-kei",2022-03-09
198,WurtS,Talking Box,highlight / UK.PROJECT,94,181,108,1.1,27244,0.03,0.8,0.718,8,-6.17,1,0.0395,0.00477,0.00107,0.0895,0.47,140.002,141934,4,japanese teen pop,2022-03-09
196,SiM,The Rumbling,ポニーキャニオン,162,178,13,0.1,26366,0.03,0.5,0.878,5,-1.399,0,0.0688,5.62E-05,0.000307,0.371,0.494,144.852,220799,4,"japanese metalcore, japanese screamo",2022-03-08
199,RADWIMPS,05410-(ん),Universal Music LLC,122,177,57,0.6,26481,0.03,0.6,0.961,8,-2.843,1,0.0464,0.000138,4.49E-06,0.122,0.794,130.049,190453,4,"j-pop, j-rock, japanese emo, visual kei",2022-03-07
194,"YOASOBI, Midories",ツバメ (feat. ミドリーズ),YOASOBI,60,-1,115,1.2,28157,0.03,0.8,0.914,5,-3.685,0,0.0288,0.39,0.0,0.106,0.825,104.983,216280,4,"j-pop, japanese teen pop",2022-03-05
196,King Gnu,飛行艇,Sony Music Labels Inc.,7,-1,668,6.7,28084,0.03,0.5,0.841,1,-2.94,1,0.0446,0.0711,0.0,0.357,0.469,79.936,260893,4,"j-pop, j-rock",2022-03-05
198,Yuuri,夏音,Sony Music Labels Inc.,52,195,167,1.7,25992,0.03,0.5,0.572,11,-4.93,1,0.0329,0.178,0.0,0.221,0.656,170.066,239200,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-03-04
135,Awich,どれにしようかな,Universal Music LLC,128,136,19,0.2,32255,0.03,0.8,0.711,7,-5.259,0,0.204,0.264,0.0,0.162,0.645,108.088,160119,4,"j-rap, josei rap",2022-03-03
181,エイトMAN,好きすぎて会いたい,北京音尚律动文化传媒有限公司,115,172,49,0.5,27746,0.03,0.8,0.526,11,-7.083,1,0.0364,0.0336,0.0,0.0887,0.575,104.969,216964,4,japanese viral pop,2022-03-01
192,King Gnu,Teenager Forever,Sony Music Labels Inc.,2,199,485,4.9,26881,0.03,0.5,0.92,0,-3.546,1,0.109,0.0676,0.0,0.342,0.702,114.903,189080,4,"j-pop, j-rock",2022-03-01
194,Kohmi Hirose,ロマンスの神様,Victor,131,-1,112,1.1,26740,0.03,0.7,0.802,1,-6.495,1,0.0349,0.149,1.84E-06,0.163,0.556,125.91,269284,4,"classic j-pop, j-pop, japanese singer-songwriter",2022-03-01
191,NiziU,Make you happy,Sony Music Labels Inc.,3,190,599,6.0,29394,0.03,0.8,0.887,7,-3.749,1,0.121,0.0411,3.7E-05,0.106,0.824,160.092,186227,4,j-pop,2022-02-27
192,YOASOBI,もしも命が描けたら,YOASOBI,61,186,89,0.9,29274,0.03,0.7,0.795,10,-4.516,0,0.0337,0.175,0.000752,0.158,0.356,99.987,201627,4,"j-pop, japanese teen pop",2022-02-27
193,Adele,Easy On Me,Columbia,62,-1,107,1.1,26067,0.03,0.6,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,"british soul, pop, pop soul, uk pop",2022-02-25
189,Aimer,コイワズライ,Sony Music Labels Inc.,82,190,497,5.0,27745,0.03,0.7,0.5,10,-5.825,1,0.0258,0.3,0.0,0.312,0.773,93.917,235160,4,"anime, anime rock, j-pixie, j-pop, j-poprock",2022-02-24
196,SUPER BEAVER,名前を呼ぶよ,Sony Music Labels Inc.,119,180,116,1.2,27494,0.03,0.4,0.987,11,-2.523,1,0.244,0.00668,0.0,0.35,0.456,176.048,278373,4,"anime, j-pop, j-poprock, j-rock",2022-02-24
198,TREASURE,JIKJIN - KR ver.-,YGEX,134,197,9,0.1,27376,0.03,0.8,0.55,0,-6.57,1,0.0434,0.0367,0.0,0.0945,0.573,130.077,184118,4,k-pop boy group,2022-02-24
195,the shes gone,ラベンダー,UK.PROJECT,159,-1,29,0.3,29467,0.03,0.5,0.568,6,-4.953,1,0.0289,0.0914,0.0,0.291,0.606,171.858,310480,4,"japanese alternative rock, modern j-rock",2022-02-23
198,Alexandros,Rock The World,Universal Music LLC,155,192,8,0.1,26957,0.03,0.4,0.893,10,-1.939,1,0.0809,0.0059,0.0,0.0911,0.579,182.086,269493,4,"anime, anime rock, j-pop, j-rock",2022-02-21
164,HIRAIDAI,もしも、僕がいなくても。,avex trax,97,155,21,0.2,31093,0.03,0.6,0.331,2,-8.473,1,0.0362,0.414,0.0,0.265,0.402,145.126,198728,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-02-20
182,あたらよ,10月無口な君を忘れる,Atarayo Records,52,187,289,2.9,29497,0.03,0.3,0.47,5,-4.663,1,0.0433,0.0429,0.0,0.236,0.307,75.096,332286,4,japanese teen pop,2022-02-20
190,DECO*27,ヴァンパイア,OTOIRO,96,192,233,2.3,29085,0.03,0.6,0.955,1,-4.073,0,0.048,0.0096,0.0,0.329,0.955,164.028,178235,4,"anime rock, j-pixie, vocaloid",2022-02-20
188,"Ed Sheeran, Taylor Swift",The Joker And The Queen (feat. Taylor Swift),Atlantic Records UK,141,147,6,0.1,28406,0.03,0.5,0.309,0,-7.398,1,0.0329,0.924,2.1E-06,0.282,0.307,133.83,185422,4,"pop, singer-songwriter pop, uk pop",2022-02-19
182,ZUTOMAYO,違う曲にしようよ,Universal Music LLC,114,149,3,0.0,27860,0.03,0.8,0.806,7,-3.512,0,0.0916,0.58,0.0,0.231,0.9,120.024,219693,4,j-pop,2022-02-18
195,"millennium parade, Belle",U,Sony Music Labels Inc.,8,-1,217,2.2,26977,0.03,0.7,0.913,9,-5.667,0,0.0384,0.0437,0.00133,0.311,0.736,120.028,187267,4,japanese electropop,2022-02-15
197,Macaroni Empitsu,ハッピーエンドへの期待は,Toys Factory,171,-1,12,0.1,26947,0.03,0.4,0.8,4,-4.247,1,0.0968,0.0346,0.0,0.219,0.496,148.182,212570,4,"anime, j-pop, japanese alternative rock, japanese teen pop",2022-02-15
192,"YENA, BIBI",SMILEY(Feat. BIBI),"Genie Music Corporation, Stone Music Entertainment",175,175,4,0.0,26922,0.03,0.7,0.91,9,-3.444,1,0.134,0.0963,1.25E-05,0.093,0.82,155.967,173413,4,,2022-02-14
196,"ayaka, Taka",Victim of Love - feat. Taka,A stAtion,140,-1,16,0.2,26770,0.03,0.6,0.565,9,-6.211,1,0.0392,0.469,0.0,0.161,0.246,131.737,235773,4,"j-pop, japanese singer-songwriter",2022-02-14
197,TENSONG,はじまりのおわり,ANLA,175,191,8,0.1,28534,0.03,0.5,0.665,8,-5.493,1,0.0375,0.303,0.0,0.138,0.476,79.943,222000,4,japanese teen pop,2022-02-12
195,Nissy,君に触れた時から,avex trax,88,190,17,0.2,27736,0.03,0.5,0.551,1,-8.293,1,0.0483,0.0452,0.0,0.0848,0.288,89.904,217167,4,j-pop,2022-02-09
199,Ado,レディメイド,Universal Music LLC,92,186,230,2.3,26715,0.03,0.5,0.866,5,-1.786,0,0.14,0.0259,0.0,0.262,0.577,195.211,243187,4,"j-pop, japanese teen pop",2022-02-08
187,yama,Oz.,Sony Music Labels Inc.,75,182,101,1.0,29276,0.03,0.4,0.723,7,-4.609,1,0.0339,0.0422,7.48E-06,0.374,0.441,75.989,194274,4,"j-pop, japanese teen pop",2022-02-05
189,Hikaru Utada,Find Love,Sony Music Labels Inc.,107,191,13,0.1,29101,0.03,0.9,0.504,11,-8.117,0,0.0508,0.551,5.36E-05,0.0816,0.481,127.168,277855,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-02-05
197,"¥ellow Bucks, JP THE WAVY",GIOTF (feat. JP THE WAVY),To The Top Gang,185,185,6,0.1,27979,0.03,0.9,0.809,6,-3.443,1,0.214,0.162,0.0,0.0688,0.939,167.975,163190,4,"j-rap, japanese trap",2022-02-05
197,iri,摩天楼,Colourful Records,169,187,11,0.1,27024,0.03,0.7,0.829,0,-5.855,1,0.0649,0.00757,0.0,0.0744,0.656,119.966,214442,4,"j-pop, japanese electropop, japanese r&b",2022-02-04
199,Fujii Kaze,何なんw,Universal Music LLC,63,181,309,3.1,26816,0.03,0.6,0.729,7,-7.113,1,0.13,0.394,0.000164,0.144,0.69,89.851,320640,4,japanese teen pop,2022-02-04
196,The Chainsmokers,High,Disruptor Records/Columbia,170,170,7,0.1,27964,0.03,0.6,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,175163,4,pop,2022-02-03
183,Eve,藍才,TOYS FACTORY,86,183,60,0.6,28808,0.03,0.6,0.829,5,-6.897,0,0.0458,0.0159,0.0,0.173,0.629,131.984,256213,4,"anime, anime rock",2022-01-31
195,和ぬか,進め!そっちだ!,Wanuka,157,189,10,0.1,29088,0.03,0.5,0.941,9,-5.341,1,0.0519,0.051,3.12E-05,0.288,0.855,170.11,194824,4,japanese teen pop,2022-01-30
199,Chinozo,グッバイ宣言,Chinozo,54,-1,336,3.4,27676,0.03,0.5,0.743,9,-11.51,0,0.0781,0.0324,0.0,0.267,0.916,169.916,172791,3,vocaloid,2022-01-29
